Časová značka,您目前是否居住在臺灣？ ,「情境 1」 ,  「情境 2」  ,  「情境 3」  ,  「情境 4」  ,若發生問題（例如退貨或爭議），我信任平台能夠公平地處理（我對其客服與保障機制有信心）。 ,  我有信心在該平台上不會有人不當使用我的個人資訊（其資安措施可防止資料遭到濫用）。  ,  我信任該平台能提供安全可靠的購物體驗（在平台上的交易有保障、風險感低）。  ,  大多數線上賣家值得信任。  ,  賣家會依照承諾交付商品。  ,我相信線上購買的衣物會符合我的期待。, 我過去在線上購買衣物的經驗大多是正面的。  ,我通常信任他人，除非他們讓我有不信任的理由。  ,我在做決策時偏好避免風險（相比有風險的選項，我傾向選擇較安全／較確定的選項）。  ,年齡 ,性別 ,您目前的身分為？,每月個人所得 (NTD),平均每月服飾預算(NTD)
22.2.2026 13:59:10,是,到實體店購買,到實體店購買,線上購買,線上購買,3,4,4,5,4,5,6,4,4,25–34,女性,工作中（全職或兼職）,"40–59,999","1,000–2,999"
22.2.2026 18:06:15,是,到實體店購買,線上購買,線上購買,線上購買,7,5,5,6,7,4,6,7,7,18–24,女性,工作中（全職或兼職）,"20–39,999","3,000–4,999"
23.2.2026 14:27:50,是,到實體店購買,到實體店購買,線上購買,線上購買,4,2,4,2,4,4,5,4,6,25–34,女性,工作中（全職或兼職）,"80–99,999","1,000–2,999"
23.2.2026 14:29:21,是,線上購買,線上購買,線上購買,線上購買,5,2,4,4,5,5,5,7,5,25–34,女性,工作中（全職或兼職）,"40–59,999","1,000–2,999"
23.2.2026 14:31:21,是,到實體店購買,到實體店購買,線上購買,線上購買,3,2,4,2,5,3,4,3,7,18–24,女性,學生,"< NT$20,000","5,000–9,999"
1.5.2026 20:52:26,是,到實體店購買,到實體店購買,線上購買,線上購買,4,3,4,5,5,5,6,6,7,18–24,男性,學生,"20–39,999","<1,000"
1.5.2026 22:27:03,是,線上購買,線上購買,線上購買,線上購買,3,2,3,3,4,3,5,5,7,35–44,女性,其他,不願透露,"<1,000"
2.5.2026 17:52:32,是,到實體店購買,線上購買,線上購買,線上購買,5,4,4,4,5,4,5,7,5,18–24,女性,學生,"< 20,000","1,000–2,999"
3.5.2026 14:42:39,是,到實體店購買,線上購買,線上購買,線上購買,6,6,6,6,6,6,6,7,7,18–24,女性,學生,"< 20,000","1,000–2,999"
7.5.2026 18:52:19,是,到實體店購買,到實體店購買,線上購買,線上購買,3,3,2,3,6,5,6,3,5,18–24,女性,學生,"< 20,000","1,000–2,999"
8.5.2026 9:21:12,是,到實體店購買,線上購買,線上購買,線上購買,5,3,5,4,4,5,6,6,7,18–24,男性,學生,"< 20,000","<1,000"
8.5.2026 14:54:17,是,到實體店購買,線上購買,線上購買,線上購買,4,4,4,3,4,3,4,4,5,18–24,女性,學生,"< 20,000","1,000–2,999"
8.5.2026 20:09:02,是,到實體店購買,到實體店購買,線上購買,到實體店購買,6,5,5,5,6,5,6,6,4,35–44,女性,其他,無收入,不願透露
10.5.2026 12:18:55,是,到實體店購買,到實體店購買,線上購買,線上購買,5,4,4,5,6,5,4,6,3,18–24,女性,學生,"< 20,000","<1,000"
10.5.2026 12:25:25,是,到實體店購買,到實體店購買,線上購買,線上購買,3,2,4,2,5,3,4,3,7,18–24,女性,學生,"< 20,000","5,000–9,999"
10.5.2026 12:31:41,是,線上購買,到實體店購買,線上購買,線上購買,5,2,5,5,3,4,5,1,7,25–34,男性,工作中（全職或兼職）,"20–39,999","1,000–2,999"
10.5.2026 15:45:18,是,到實體店購買,到實體店購買,線上購買,線上購買,6,5,6,5,5,4,4,6,7,18–24,男性,學生,"< 20,000","<1,000"
10.5.2026 15:52:10,是,線上購買,到實體店購買,線上購買,到實體店購買,4,5,3,4,5,4,3,5,6,35–44,男性,工作中（全職或兼職）,"40–59,999","1,000–2,999"
10.5.2026 16:03:57,是,到實體店購買,到實體店購買,線上購買,線上購買,5,4,5,4,5,3,4,3,5,18–24,女性,學生,"< 20,000","1,000–2,999"
10.5.2026 16:12:10,是,到實體店購買,到實體店購買,線上購買,線上購買,6,7,6,6,4,3,2,3,3,25–34,男性,工作中（全職或兼職）,"40–59,999","5,000–9,999"
11.5.2026 15:34:42,是,到實體店購買,到實體店購買,線上購買,線上購買,4,3,3,4,4,3,5,4,4,25–34,女性,工作中（全職或兼職）,"60–79,999","1,000–2,999"
11.5.2026 15:55:58,是,到實體店購買,到實體店購買,線上購買,線上購買,5,5,5,6,5,5,5,6,6,25–34,女性,工作中（全職或兼職）,"40–59,999","1,000–2,999"
11.5.2026 15:59:45,是,線上購買,線上購買,線上購買,線上購買,5,5,5,6,6,6,6,7,5,35–44,女性,工作中（全職或兼職）,"60–79,999","3,000–4,999"
11.5.2026 16:04:01,是,到實體店購買,到實體店購買,線上購買,線上購買,4,3,5,4,5,5,5,4,5,18–24,男性,學生,無收入,"<1,000"
12.5.2026 15:14:40,是,到實體店購買,線上購買,線上購買,線上購買,2,4,4,5,2,3,3,5,4,35–44,女性,工作中（全職或兼職）,"40–59,999","<1,000"
12.5.2026 15:22:44,是,到實體店購買,到實體店購買,線上購買,線上購買,4,3,5,4,5,5,5,4,5,18–24,男性,學生,無收入,"<1,000"
12.5.2026 15:27:19,是,到實體店購買,到實體店購買,線上購買,線上購買,5,4,6,5,6,4,6,6,6,18–24,女性,學生,"< 20,000","<1,000"
12.5.2026 15:32:41,是,到實體店購買,到實體店購買,線上購買,線上購買,5,4,6,5,5,6,5,5,4,18–24,男性,學生,"< 20,000","1,000–2,999"
12.5.2026 15:39:41,是,到實體店購買,線上購買,線上購買,線上購買,4,4,5,3,3,5,4,4,3,25–34,女性,工作中（全職或兼職）,"80–99,999","5,000–9,999"
12.5.2026 15:44:20,是,到實體店購買,到實體店購買,線上購買,線上購買,4,3,5,4,5,5,5,4,5,18–24,男性,學生,無收入,"<1,000"
12.5.2026 15:45:30,是,到實體店購買,線上購買,線上購買,線上購買,5,6,4,5,5,5,4,5,4,18–24,男性,學生,"< 20,000","<1,000"
