Časová značka,Do you currently live in Taiwan? ,Scenario 1,Scenario 2,Scenario 3,Scenario 4,"If I have a problem (such as a return or dispute), I trust the platform to resolve it fairly (confidence in the site’s customer service and guarantees).",I am confident that no one will misuse my information on the platform (the site’s security measures prevent data abuse),I trust the platform to provide a safe and secure shopping experience (transactions on the site feel protected and risk-free),Most online sellers are trustworthy.,The seller will deliver goods as promised.,I believe that clothing items purchased online will meet my expectations.,My past experiences buying clothes online have been mostly positive.,I generally trust other people unless they give me a reason not to.,I prefer to avoid risks in my decisions (I tend to choose the safe/certain option over a risky one),Age,Gender,Are you currently a:,Monthly personal income  (NTD),Average monthly budget for clothing (NTD)  
15.4.2026 16:20:30,Yes,Buy in-store,Buy online,Buy online,Buy online,6,3,4,5,6,5,6,6,5,18–24,Male,Student,"≥100,000","3,000–4,999"
15.4.2026 16:24:39,Yes,Buy in-store,Buy online,Buy online,Buy online,5,2,6,5,5,5,6,5,5,25–34,Male,Student,Prefer not to say,"1,000–2,999"
10.5.2026 20:09:34,Yes,Buy in-store,Buy online,Buy online,Buy online,6,6,7,4,4,5,7,7,4,25–34,Female,Student,"< 20,000","<1,000"
10.5.2026 20:10:40,Yes,Buy in-store,Buy in-store,Buy in-store,Buy online,4,4,4,3,3,3,3,3,6,18–24,Female,Student,"< 20,000","<1,000"
10.5.2026 20:12:05,Yes,Buy in-store,Buy in-store,Buy in-store,Buy online,4,3,5,3,4,4,3,4,6,25–34,Female,Student,None,"<1,000"
10.5.2026 20:13:15,Yes,Buy in-store,Buy in-store,Buy online,Buy online,6,5,6,7,6,7,7,6,6,25–34,Male,Student,"20–39,999","3,000–4,999"
10.5.2026 20:14:32,Yes,Buy in-store,Buy online,Buy online,Buy online,5,6,5,4,5,4,5,6,4,18–24,Female,Student,"< 20,000","1,000–2,999"
11.5.2026 12:48:04,Yes,Buy in-store,Buy in-store,Buy online,Buy online,6,6,6,1,2,2,3,6,5,25–34,Female,Student,"< 20,000","<1,000"
11.5.2026 12:50:14,Yes,Buy in-store,Buy online,Buy online,Buy online,4,5,5,5,5,5,7,5,7,18–24,Female,Student,"< 20,000","<1,000"
11.5.2026 12:52:02,Yes,Buy in-store,Buy in-store,Buy in-store,Buy online,3,3,4,6,6,5,5,6,4,25–34,Male,Working,"60–79,999","1,000–2,999"
11.5.2026 12:53:44,Yes,Buy in-store,Buy in-store,Buy online,Buy online,7,4,5,5,5,4,4,6,6,35–44,Female,Working,"40–59,999","<1,000"
11.5.2026 12:55:35,Yes,Buy in-store,Buy online,Buy online,Buy online,6,4,5,4,6,5,6,6,4,25–34,Female,Student,"40–59,999","<1,000"
11.5.2026 12:58:46,Yes,Buy in-store,Buy in-store,Buy online,Buy online,4,4,4,5,4,4,5,6,6,18–24,Male,Student,"< 20,000","<1,000"
11.5.2026 13:00:23,Yes,Buy in-store,Buy in-store,Buy online,Buy online,6,2,2,3,4,3,5,5,6,18–24,Male,Student,"< 20,000","1,000–2,999"
11.5.2026 13:02:01,Yes,Buy in-store,Buy online,Buy online,Buy online,5,6,6,7,5,5,6,5,5,25–34,Male,Student,"20–39,999","3,000–4,999"
11.5.2026 13:03:23,Yes,Buy in-store,Buy in-store,Buy online,Buy online,7,6,6,6,7,6,7,6,6,25–34,Male,Student,"20–39,999","1,000–2,999"
11.5.2026 13:05:14,Yes,Buy in-store,Buy in-store,Buy in-store,Buy in-store,6,5,7,1,2,4,5,6,6,25–34,Male,Student,"40–59,999","1,000–2,999"
11.5.2026 13:45:07,Yes,Buy in-store,Buy in-store,Buy online,Buy online,5,2,5,5,6,6,6,6,6,35–44,Female,Other,Prefer not to say,"<1,000"
11.5.2026 13:46:54,Yes,Buy in-store,Buy online,Buy online,Buy online,5,6,5,6,6,5,6,6,6,25–34,Male,Working,"≥100,000","1,000–2,999"
11.5.2026 15:03:07,Yes,Buy in-store,Buy in-store,Buy online,Buy online,6,6,6,5,5,5,5,5,4,25–34,Male,Student,"< 20,000","<1,000"
11.5.2026 15:04:21,Yes,Buy in-store,Buy online,Buy online,Buy in-store,6,7,7,6,6,5,6,6,2,18–24,Female,Student,"< 20,000","1,000–2,999"
11.5.2026 15:05:53,Yes,Buy in-store,Buy in-store,Buy online,Buy in-store,4,5,5,4,4,5,6,6,4,25–34,Male,Working,"60–79,999","3,000–4,999"
11.5.2026 15:07:47,Yes,Buy in-store,Buy online,Buy online,Buy online,4,7,7,4,5,5,5,4,6,25–34,Female,Working,"40–59,999","1,000–2,999"
11.5.2026 15:09:54,Yes,Buy in-store,Buy online,Buy online,Buy online,5,6,6,5,4,5,5,5,5,25–34,Female,Working,"40–59,999","1,000–2,999"
11.5.2026 15:10:59,Yes,Buy in-store,Buy in-store,Buy online,Buy online,5,5,5,5,5,5,5,6,5,18–24,Male,Student,None,"<1,000"
