Časová značka,您目前是否居住在臺灣？ ,「情境 1」 ,  「情境 2」  ,  「情境 3」  ,  「情境 4」  ,若發生問題（例如退貨或爭議），我信任平台能夠公平地處理（我對其客服與保障機制有信心）。 ,  我有信心在該平台上不會有人不當使用我的個人資訊（其資安措施可防止資料遭到濫用）。  ,  我信任該平台能提供安全可靠的購物體驗（在平台上的交易有保障、風險感低）。  ,  大多數線上賣家值得信任。  ,  賣家會依照承諾交付商品。  ,我相信線上購買的衣物會符合我的期待。, 我過去在線上購買衣物的經驗大多是正面的。  ,我通常信任他人，除非他們讓我有不信任的理由。  ,我在做決策時偏好避免風險（相比有風險的選項，我傾向選擇較安全／較確定的選項）。  ,年齡 ,性別 ,您目前的身分為？,每月個人所得(NTD),平均每月服飾預算(NTD)
22.2.2026 12:11:49,是,線上購買,線上購買,線上購買,線上購買,7,4,7,7,7,7,7,7,7,45–54,男性,其他,"40–59,999","1,000–2,999"
22.2.2026 19:30:57,是,到實體店購買,到實體店購買,線上購買,線上購買,5,1,3,4,4,4,4,4,6,35–44,男性,工作中（全職或兼職）,"40–59,999","3,000–4,999"
23.2.2026 17:48:22,是,到實體店購買,線上購買,線上購買,到實體店購買,5,5,5,6,6,6,6,7,7,35–44,女性,工作中（全職或兼職）,"60–79,999","3,000–4,999"
23.2.2026 17:51:15,是,到實體店購買,線上購買,到實體店購買,線上購買,5,3,5,4,6,2,6,5,6,25–34,男性,工作中（全職或兼職）,"40–59,999","<1,000"
23.2.2026 17:53:21,是,到實體店購買,到實體店購買,線上購買,線上購買,4,1,3,4,5,4,3,5,6,35–44,男性,工作中（全職或兼職）,"40–59,999","1,000–2,999"
1.5.2026 19:36:23,是,到實體店購買,線上購買,到實體店購買,到實體店購買,3,1,4,3,5,1,1,1,6,25–34,女性,學生,"< 20,000","<1,000"
1.5.2026 21:22:05,是,到實體店購買,到實體店購買,到實體店購買,線上購買,2,1,1,3,5,1,1,6,7,25–34,男性,學生,"< 20,000","<1,000"
3.5.2026 1:44:24,是,到實體店購買,線上購買,到實體店購買,到實體店購買,4,3,3,4,4,3,4,5,7,18–24,女性,學生,"< 20,000","1,000–2,999"
3.5.2026 22:53:01,是,到實體店購買,線上購買,線上購買,線上購買,6,3,4,4,4,4,5,5,5,25–34,女性,工作中（全職或兼職）,"< 20,000","<1,000"
7.5.2026 14:03:19,是,線上購買,線上購買,線上購買,線上購買,6,2,7,7,5,7,7,7,5,18–24,女性,工作中（全職或兼職）,"40–59,999","3,000–4,999"
7.5.2026 15:31:29,是,到實體店購買,線上購買,線上購買,線上購買,4,4,5,5,5,4,6,6,5,18–24,女性,其他,"< 20,000",不願透露
7.5.2026 18:41:03,否,,,,,,,,,,,,,,,,,,
7.5.2026 19:41:48,是,到實體店購買,線上購買,線上購買,線上購買,6,5,6,7,7,5,6,6,5,18–24,女性,學生,無收入,"3,000–4,999"
8.5.2026 0:02:59,是,線上購買,線上購買,到實體店購買,線上購買,3,6,6,3,3,3,4,4,5,35–44,男性,工作中（全職或兼職）,不願透露,"1,000–2,999"
8.5.2026 9:55:51,是,線上購買,線上購買,線上購買,線上購買,5,4,7,4,3,4,5,7,5,35–44,男性,工作中（全職或兼職）,"40–59,999","1,000–2,999"
10.5.2026 12:21:24,是,到實體店購買,到實體店購買,線上購買,線上購買,4,1,3,4,5,4,3,5,6,35–44,男性,工作中（全職或兼職）,"40–59,999","1,000–2,999"
10.5.2026 12:28:32,是,到實體店購買,線上購買,線上購買,線上購買,5,4,5,3,3,5,4,7,7,18–24,男性,學生,無收入,"5,000–9,999"
10.5.2026 12:33:07,是,到實體店購買,線上購買,到實體店購買,線上購買,5,3,5,4,6,2,6,5,6,25–34,男性,工作中（全職或兼職）,"40–59,999","<1,000"
10.5.2026 12:57:25,是,到實體店購買,到實體店購買,線上購買,線上購買,5,5,5,5,6,5,5,6,6,25–34,女性,工作中（全職或兼職）,"40–59,999","1,000–2,999"
10.5.2026 15:47:55,是,線上購買,線上購買,到實體店購買,線上購買,5,4,5,4,5,3,4,3,6,18–24,女性,學生,"< 20,000","1,000–2,999"
10.5.2026 15:54:48,是,到實體店購買,線上購買,到實體店購買,線上購買,5,5,5,6,6,4,5,5,4,18–24,女性,學生,"< 20,000","1,000–2,999"
10.5.2026 16:00:30,是,線上購買,線上購買,線上購買,線上購買,4,3,5,4,5,5,5,4,5,18–24,男性,學生,不願透露,"<1,000"
10.5.2026 16:08:35,是,線上購買,到實體店購買,線上購買,線上購買,4,4,5,5,5,6,6,6,4,18–24,女性,學生,無收入,"<1,000"
10.5.2026 16:19:27,是,到實體店購買,線上購買,線上購買,線上購買,7,1,7,6,6,7,6,6,6,18–24,男性,學生,無收入,"<1,000"
10.5.2026 16:21:00,是,到實體店購買,到實體店購買,到實體店購買,到實體店購買,5,4,5,4,5,3,4,3,6,18–24,女性,學生,"< 20,000","1,000–2,999"
11.5.2026 1:48:45,是,到實體店購買,到實體店購買,到實體店購買,線上購買,5,6,6,5,6,5,5,7,7,18–24,男性,學生,"< 20,000","<1,000"
11.5.2026 15:36:19,是,到實體店購買,線上購買,線上購買,線上購買,7,1,7,7,7,7,7,7,7,18–24,女性,學生,無收入,"<1,000"
11.5.2026 15:57:14,是,線上購買,線上購買,到實體店購買,線上購買,6,5,6,5,5,4,4,6,7,18–24,男性,學生,"< 20,000","<1,000"
11.5.2026 16:01:32,是,線上購買,線上購買,到實體店購買,線上購買,5,2,3,5,6,4,4,5,4,18–24,女性,學生,無收入,"<1,000"
12.5.2026 15:15:56,是,到實體店購買,線上購買,到實體店購買,線上購買,6,5,5,4,4,4,6,4,4,25–34,女性,工作中（全職或兼職）,"60–79,999","1,000–2,999"
12.5.2026 15:23:55,是,線上購買,線上購買,到實體店購買,線上購買,5,2,3,5,6,4,4,5,4,18–24,女性,學生,無收入,"<1,000"
12.5.2026 15:28:45,是,到實體店購買,線上購買,到實體店購買,到實體店購買,5,4,6,5,6,4,6,6,6,18–24,女性,學生,"< 20,000","<1,000"
12.5.2026 15:34:55,是,到實體店購買,線上購買,到實體店購買,到實體店購買,5,4,5,5,6,4,5,6,5,18–24,女性,學生,"< 20,000","<1,000"
12.5.2026 15:40:54,是,到實體店購買,線上購買,到實體店購買,線上購買,4,1,3,1,2,2,4,6,6,18–24,女性,學生,無收入,"1,000–2,999"
