Časová značka,您目前是否居住在臺灣？ ,「情境 1」 ,  「情境 2」  ,  「情境 3」  ,  「情境 4」  ,若發生問題（例如退貨或爭議），我信任平台能夠公平地處理（我對其客服與保障機制有信心）。 ,  我有信心在該平台上不會有人不當使用我的個人資訊（其資安措施可防止資料遭到濫用）。  ,  我信任該平台能提供安全可靠的購物體驗（在平台上的交易有保障、風險感低）。  ,  大多數線上賣家值得信任。  ,  賣家會依照承諾交付商品。  ,我相信線上購買的衣物會符合我的期待。, 我過去在線上購買衣物的經驗大多是正面的。  ,我通常信任他人，除非他們讓我有不信任的理由。  ,我在做決策時偏好避免風險（相比有風險的選項，我傾向選擇較安全／較確定的選項）。  ,年齡 ,性別 ,您目前的身分為？,每月個人所得 (NTD),平均每月服飾預算(NTD)
22.2.2026 13:38:44,是,到實體店購買,到實體店購買,線上購買,線上購買,5,6,5,6,6,4,5,6,3,25–34,男性,工作中（全職或兼職）,"60–79,999","1,000–2,999"
22.2.2026 15:19:17,是,到實體店購買,到實體店購買,到實體店購買,到實體店購買,4,3,4,5,5,2,3,5,6,18–24,女性,工作中（全職或兼職）,"20–39,999","1,000–2,999"
23.2.2026 17:56:39,是,線上購買,線上購買,線上購買,線上購買,4,4,5,3,3,5,4,4,3,25–34,女性,工作中（全職或兼職）,"≥100,000","≥10,000"
23.2.2026 18:04:40,是,到實體店購買,到實體店購買,到實體店購買,到實體店購買,5,3,3,4,5,5,6,6,6,35–44,男性,工作中（全職或兼職）,"60–79,999","3,000–4,999"
1.5.2026 16:56:11,是,到實體店購買,線上購買,到實體店購買,到實體店購買,4,3,4,5,5,5,5,6,6,18–24,男性,學生,無收入,"<1,000"
1.5.2026 20:16:04,是,到實體店購買,到實體店購買,線上購買,線上購買,4,3,3,3,4,3,3,4,4,25–34,女性,工作中（全職或兼職）,"20–39,999","<1,000"
1.5.2026 22:10:42,是,到實體店購買,線上購買,線上購買,線上購買,5,3,3,5,6,2,1,3,7,18–24,女性,學生,"< 20,000","1,000–2,999"
3.5.2026 1:06:26,是,到實體店購買,到實體店購買,到實體店購買,到實體店購買,3,5,5,6,6,4,4,5,7,18–24,女性,學生,"20–39,999","1,000–2,999"
3.5.2026 4:51:48,是,到實體店購買,線上購買,到實體店購買,到實體店購買,4,5,5,4,5,4,5,5,5,25–34,女性,工作中（全職或兼職）,"20–39,999","1,000–2,999"
4.5.2026 0:39:01,是,到實體店購買,到實體店購買,到實體店購買,到實體店購買,6,4,5,4,5,4,5,5,4,18–24,女性,學生,無收入,"1,000–2,999"
7.5.2026 13:42:45,是,到實體店購買,到實體店購買,線上購買,到實體店購買,6,6,4,5,5,4,4,5,4,18–24,女性,學生,"< 20,000","5,000–9,999"
7.5.2026 15:32:38,是,到實體店購買,到實體店購買,到實體店購買,線上購買,5,5,5,5,5,5,5,5,5,18–24,男性,學生,"40–59,999","5,000–9,999"
7.5.2026 19:07:04,是,到實體店購買,線上購買,線上購買,線上購買,3,4,3,3,5,2,3,5,6,18–24,男性,學生,"20–39,999","3,000–4,999"
7.5.2026 19:30:04,是,到實體店購買,線上購買,到實體店購買,到實體店購買,6,4,6,6,6,3,3,6,6,18–24,女性,學生,無收入,"<1,000"
7.5.2026 21:14:11,是,到實體店購買,到實體店購買,到實體店購買,到實體店購買,6,6,7,5,5,5,5,6,6,25–34,女性,工作中（全職或兼職）,"20–39,999","1,000–2,999"
