survey_id,version,online_choice,vignette_num,vignette_id,reputation_high,price_high,discount,p_trust1,p_trust2,p_trust3,s_trust1,s_trust2,c_trust1,c_trust2,g_trust1,risk_aversion,age_cat,gender_cat,status_cat,income_cat,budget_cat,trust_index
1,A,0,1,1,0,0,0,3,4,4,5,4,5,6,4,4,2,2,2,3,2,4.375
2,A,0,1,1,0,0,0,7,5,5,6,7,4,6,7,7,1,2,2,2,3,5.875
3,A,0,1,1,0,0,0,4,2,4,2,4,4,5,4,6,2,2,2,5,2,3.625
4,A,1,1,1,0,0,0,5,2,4,4,5,5,5,7,5,2,2,2,3,2,4.625
5,A,0,1,1,0,0,0,3,2,4,2,5,3,4,3,7,1,2,1,1,4,3.25
6,A,0,1,1,0,0,0,4,3,4,5,5,5,6,6,7,1,1,1,2,1,4.75
7,A,1,1,1,0,0,0,3,2,3,3,4,3,5,5,7,3,2,3,7,1,3.5
8,A,0,1,1,0,0,0,5,4,4,4,5,4,5,7,5,1,2,1,1,2,4.75
9,A,0,1,1,0,0,0,6,6,6,6,6,6,6,7,7,1,2,1,1,2,6.125
10,A,0,1,1,0,0,0,3,3,2,3,6,5,6,3,5,1,2,1,1,2,3.875
11,A,0,1,1,0,0,0,5,3,5,4,4,5,6,6,7,1,1,1,1,1,4.75
12,A,0,1,1,0,0,0,4,4,4,3,4,3,4,4,5,1,2,1,1,2,3.75
13,A,0,1,1,0,0,0,6,5,5,5,6,5,6,6,4,3,2,3,0,6,5.5
14,A,0,1,1,0,0,0,5,4,4,5,6,5,4,6,3,1,2,1,1,1,4.875
15,A,0,1,1,0,0,0,3,2,4,2,5,3,4,3,7,1,2,1,1,4,3.25
16,A,1,1,1,0,0,0,5,2,5,5,3,4,5,1,7,2,1,2,2,2,3.75
17,A,0,1,1,0,0,0,6,5,6,5,5,4,4,6,7,1,1,1,1,1,5.125
18,A,1,1,1,0,0,0,4,5,3,4,5,4,3,5,6,3,1,2,3,2,4.125
19,A,0,1,1,0,0,0,5,4,5,4,5,3,4,3,5,1,2,1,1,2,4.125
20,A,0,1,1,0,0,0,6,7,6,6,4,3,2,3,3,2,1,2,3,4,4.625
21,A,0,1,1,0,0,0,4,3,3,4,4,3,5,4,4,2,2,2,4,2,3.75
22,A,0,1,1,0,0,0,5,5,5,6,5,5,5,6,6,2,2,2,3,2,5.25
23,A,1,1,1,0,0,0,5,5,5,6,6,6,6,7,5,3,2,2,4,3,5.75
24,A,0,1,1,0,0,0,4,3,5,4,5,5,5,4,5,1,1,1,0,1,4.375
25,A,0,1,1,0,0,0,2,4,4,5,2,3,3,5,4,3,2,2,3,1,3.5
26,A,0,1,1,0,0,0,4,3,5,4,5,5,5,4,5,1,1,1,0,1,4.375
27,A,0,1,1,0,0,0,5,4,6,5,6,4,6,6,6,1,2,1,1,1,5.25
28,A,0,1,1,0,0,0,5,4,6,5,5,6,5,5,4,1,1,1,1,2,5.125
29,A,0,1,1,0,0,0,4,4,5,3,3,5,4,4,3,2,2,2,5,4,4.0
30,A,0,1,1,0,0,0,4,3,5,4,5,5,5,4,5,1,1,1,0,1,4.375
31,A,0,1,1,0,0,0,5,6,4,5,5,5,4,5,4,1,1,1,1,1,4.875
32,B,0,1,5,0,1,0,6,3,4,5,6,5,6,6,5,1,1,1,6,3,5.125
